No,Input,Output,Ven
187,2449.358191461459,1585.2351573689991,NO
189,2001.7235183213236,2488.746211724551,NO
190,2318.019081377316,2567.265998998929,NO
193,2041.5682097417298,2405.5757669831737,NO
197,2096.8966437155586,2132.2433884951615,NO
198,2038.9469298057543,2964.103854375344,NO
199,1990.2319163202637,2603.35758223187,NO
200,2635.3970577727464,1764.5435064428111,NO
203,2048.431165672585,2496.324410587838,NO
204,2518.374271885523,2002.8175936154012,NO
205,2624.454882533066,2311.1273312005414,NO
206,2469.6785959059457,2358.2450074509075,NO
207,2557.7737691755106,1630.5714511271135,NO
208,2593.9256318853413,2547.7310067833027,NO
209,1928.2747370849331,2518.957586608719,NO
210,2008.6783772639633,2112.388958577124,NO
211,2621.1029857880076,2306.2065961691806,NO
212,1909.7807923829478,2602.2368209332394,NO
213,2635.2419574923256,2150.9342740154843,NO
214,2786.329646368103,2416.3513030325225,NO
216,2091.83911796041,2483.789151525091,NO
218,1696.129135073039,2518.6963731539063,NO
219,2529.618650021679,2541.8512127323042,NO
220,2419.0740367860394,1712.7726930884712,NO
221,2048.5338272904296,2724.2734454941688,NO
222,2566.75549228168,2488.3299693923955,NO
223,1788.4447957512812,2775.7244914259954,NO
224,2491.9850701335517,2122.4784943554478,NO
225,2373.579779177161,2468.4138373877963,NO
226,1617.003697025378,2221.0326857103078,NO
227,1773.5054905245295,1656.0241950551494,NO
229,2539.8407443497726,2399.1052912564855,NO
231,2511.1097216515427,2190.0740044549816,NO
232,3163.4781827712923,2501.1590089688407,NO
233,2190.7244504129794,1607.5584613713836,NO
234,1987.8714528713933,2208.7516970432966,NO
235,2515.4593895233274,2416.442998565731,NO
236,2509.5770460260183,2560.485448838367,NO
237,2883.110387793118,1602.8584721225343,NO
238,2015.3291846394764,2423.7761115351295,NO
240,2087.662902755502,2438.065400013352,NO
242,1996.3515361018128,2483.012663240303,NO
243,2386.0532320729453,2009.5418078961843,NO
244,2422.3222303196353,2638.3163793098024,NO
246,2210.812953282406,2222.5455532637243,NO
247,2442.215813572754,2522.5536691675343,NO
248,1731.815430208631,2497.834118705906,NO
249,2541.6462732585974,2294.4059318377367,NO
250,1821.1365378897253,2286.9740098291677,NO
251,2363.9454960257417,2757.1171631934517,NO
252,2360.091732316112,1575.128962135195,NO
253,2837.989565676804,2097.1232819643683,NO
254,2537.1858599127754,2513.8477850523277,NO
255,1823.3236362245189,2278.7973376483146,NO
256,2282.0698874366144,1468.4841181472932,NO
257,2478.487778203604,1668.7049763024293,NO
258,2534.2013474449036,2725.176125674275,NO
259,2087.042083323715,1635.45731437398,NO
260,2042.3229305327009,1665.3716032625734,NO
261,1907.393607766639,2065.8983516775593,NO
263,2341.757281404283,1663.7923689571226,NO
264,2275.2756674653024,2212.039597154008,NO
265,1914.4402238710873,2013.0597588376336,NO
266,2479.26335916229,2706.7464153129763,NO
267,2227.029120794509,2499.4485800430716,NO
268,2182.0242050893107,1746.5134060786972,NO
269,1718.7808383557108,1650.0520975185327,NO
270,2554.650391862928,2650.9042201425996,NO
271,2207.4908844374777,2231.1939755171006,NO
272,1741.7244062791474,1683.366559974892,NO
273,1840.745415795669,2243.3890807455678,NO
274,1706.7432534449028,2519.202479564133,NO
275,2584.310156172126,2354.62382524104,NO
276,2043.9000381710819,2551.9665221059317,NO
277,1689.3104423056193,3081.2395972363474,NO
278,2401.499413607408,2602.177528924528,NO
279,2344.3040361970916,2095.3293853066098,NO
280,1940.5818234689575,1939.5287875496592,NO
281,2956.6701377001114,1907.232693149172,NO
282,1438.951552017917,2379.4599799969,NO
284,2453.996456940321,2605.8963903812573,NO
285,2172.5811694540926,2414.351152589986,NO
286,1383.0773043423105,2178.7473283008017,NO
287,2492.908032728667,1854.0779267244397,NO
288,2564.7529975166412,2382.1336984186028,NO
289,2348.9193296275853,2913.382405778886,NO
